timestamp,cpu_usage,mem_usage,proc_count,net_bytes_sent,net_bytes_recv,disk_read,disk_write
2026-02-25T10:55:57.585732,14.9,60.9,622,1026410496,326754304,386362187776,312522682368
2026-02-25T10:56:03.089396,12.1,60.0,622,1026418688,326763520,386362187776,312523075584
2026-02-25T10:56:08.601721,19.9,61.5,621,1026422784,326766592,386362191872,312523300864
2026-02-25T10:56:14.108640,13.7,60.1,621,1026427904,326769664,386362224640,312523952128
2026-02-25T10:56:19.613960,15.9,60.6,621,1026432000,326771712,386362232832,312524423168
2026-02-25T10:56:25.121520,26.4,60.1,621,1026436096,326773760,386362232832,312524894208
2026-02-25T10:56:30.633794,16.0,60.0,619,1026471936,326830080,386362368000,312528060416
2026-02-25T10:56:36.143978,12.2,60.1,619,1026476032,326833152,386362368000,312528396288
2026-02-25T10:56:41.657897,14.4,60.0,618,1026480128,326835200,386362368000,312529354752
2026-02-25T10:56:47.171769,13.0,60.0,618,1026484224,326837248,386362368000,312529616896
2026-02-25T10:56:52.685561,12.9,60.3,619,1026489344,326839296,386362368000,312529907712
2026-02-25T10:56:58.198649,14.0,60.3,619,1026494464,326842368,386362368000,312532135936
2026-02-25T10:57:03.711991,13.7,60.3,619,1026498560,326844416,386362368000,312532303872
2026-02-25T10:57:09.225364,16.3,60.2,618,1026506752,326853632,386362482688,312532582400
2026-02-25T10:57:14.735846,12.9,60.2,618,1026511872,326855680,386362482688,312532811776
2026-02-25T10:57:20.248773,12.5,60.3,618,1026526208,326877184,386362482688,312533037056
2026-02-25T10:57:25.756363,13.4,60.0,617,1026530304,326878208,386362482688,312535818240
2026-02-25T10:57:31.269006,12.5,60.1,617,1026555904,326922240,386362601472,312536064000
2026-02-25T10:57:36.778509,13.2,60.0,617,1026558976,326924288,386362634240,312536346624
2026-02-25T10:57:42.286507,12.7,60.1,617,1026564096,326926336,386362634240,312536567808
2026-02-25T10:57:47.789558,11.6,60.0,617,1026570240,326930432,386362634240,312536788992
2026-02-25T10:57:53.302148,13.0,60.1,617,1026573312,326932480,386362634240,312537022464
2026-02-25T10:57:58.814905,12.7,60.1,617,1026576384,326933504,386362634240,312538165248
2026-02-25T10:58:04.327445,11.8,60.1,617,1026580480,326936576,386362638336,312538378240
2026-02-25T10:58:09.840131,13.0,60.1,617,1026585600,326938624,386362638336,312538611712
2026-02-25T10:58:15.353552,12.5,60.2,617,1026588672,326940672,386362638336,312538816512
2026-02-25T10:58:20.864856,13.4,60.1,617,1026593792,326942720,386362638336,312539029504
2026-02-25T10:58:26.378372,13.1,60.2,617,1026596864,326944768,386362638336,312540114944
2026-02-25T10:58:31.887347,13.4,60.2,617,1026620416,326978560,386362638336,312540303360
2026-02-25T10:58:37.391933,12.3,60.1,617,1026626560,326982656,386362638336,312540565504
2026-02-25T10:58:42.899746,12.1,60.2,617,1026629632,326984704,386362638336,312540778496
2026-02-25T10:58:48.407091,14.4,60.6,617,1026633728,326986752,386362650624,312541757440
2026-02-25T10:58:53.917953,13.9,60.8,619,1026675712,327079936,386362839040,312542547968
2026-02-25T10:58:59.430254,12.2,60.6,620,1026711552,327141376,386364305408,312546295808
2026-02-25T10:59:04.939616,14.6,60.7,621,1026717696,327150592,386364932096,312547299328
2026-02-25T10:59:10.449144,14.8,60.7,621,1026722816,327152640,386364940288,312547676160
2026-02-25T10:59:15.961824,14.9,60.7,621,1026726912,327153664,386364940288,312548585472
2026-02-25T10:59:21.474446,13.8,60.7,621,1026731008,327156736,386364940288,312549924864
2026-02-25T10:59:26.986856,13.6,60.7,622,1026739200,327159808,386365173760,312553132032
2026-02-25T10:59:32.493718,13.2,60.8,621,1026809856,327265280,386366111744,312553390080
2026-02-25T10:59:37.998657,13.4,60.7,621,1026842624,327307264,386366111744,312553779200
2026-02-25T10:59:43.507900,13.5,60.7,621,1026857984,327332864,386366111744,312554061824
2026-02-25T10:59:49.019122,12.6,60.7,621,1026870272,327343104,386366111744,312554319872
2026-02-25T10:59:54.532053,12.6,60.8,621,1026884608,327355392,386367156224,312555098112
2026-02-25T11:00:00.040614,13.5,60.9,623,1026892800,327363584,386395082752,312557764608
2026-02-25T11:00:05.553111,12.6,60.6,622,1026905088,327377920,386395242496,312558419968
2026-02-25T11:00:11.066131,12.3,60.5,622,1026918400,327389184,386395250688,312558698496
2026-02-25T11:00:16.577422,13.1,60.5,622,1026928640,327398400,386395250688,312559095808
2026-02-25T11:00:22.082220,13.3,60.5,622,1026939904,327408640,386395250688,312559312896
2026-02-25T11:00:27.592979,13.3,60.5,622,1026948096,327412736,386395471872,312561127424
2026-02-25T11:00:33.102301,11.7,60.6,623,1026968576,327447552,386399006720,312561373184
2026-02-25T11:00:38.614916,12.3,60.8,625,1026973696,327450624,386435383296,312561811456
2026-02-25T11:00:44.122503,12.5,60.7,625,1026977792,327451648,386435497984,312562106368
2026-02-25T11:00:49.635975,13.3,60.7,625,1026981888,327454720,386435514368,312562331648
2026-02-25T11:00:55.148887,15.8,60.7,625,1026984960,327456768,386435534848,312562581504
2026-02-25T11:01:00.656822,9.7,58.6,634,1026995200,327464960,386439168000,312569139200
2026-02-25T11:01:06.170324,7.1,59.2,637,1027081216,327521280,386445676544,312571830272
